Артикулы с дубликатами и даты первого появления (от ранней к поздней):

Артикул: 843377, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.479908
Артикул: 1762614, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.479984
Артикул: 1762638, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480059
Артикул: 843391, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480133
Артикул: 843382, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480208
Артикул: 1638176, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480283
Артикул: 2028038, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480357
Артикул: 1762611, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480432
Артикул: 405895, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480507
Артикул: 405909, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480588
Артикул: 1638177, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480663
Артикул: 405908, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480740
Артикул: 1762612, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480815
Артикул: 1762625, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480889
Артикул: 1762626, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.480963
Артикул: 1629867, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.481037
Артикул: 405901, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.481114
Артикул: 405899, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.481189
Артикул: 843376, Кол-во с пробелами: 1, С даты: 2025-07-29 17:01:11.481264
